Epoch,Training Loss,Validation Loss,Validation F1 Score,Validation Accuracy
1,0.6746369724472364,0.6436023352046808,0.773571544075586,0.7544320420223244
2,0.6083118862782916,0.5515649473915497,0.7855626265218372,0.7820091923834537
3,0.5187368970364332,0.47637235807875794,0.8096443733073295,0.8049901510177282
4,0.45516548305749893,0.4387668836861849,0.818310667849494,0.8154957321076822
5,0.42617224094768363,0.4198536155745387,0.827229244280607,0.8253447143795141
6,0.40722020994871855,0.4098581311603387,0.8312734817134142,0.8299409061063691
7,0.3926137099042535,0.4027519766241312,0.8317870847821276,0.8305975049244911
8,0.38380561939751107,0.4014916544159253,0.8358319993608582,0.835193696651346
9,0.3765295500246187,0.3961558522035678,0.8350737310314209,0.8338804990151018
10,0.3659347207285464,0.3934707461545865,0.8405562116212066,0.8391332895600788
11,0.3623453957649569,0.393036591509978,0.8410718399741969,0.8397898883782009
12,0.35148393906032044,0.39133072054634493,0.8440594573796992,0.8424162836506894
13,0.35287139083569247,0.3949460412065188,0.8352955512766485,0.8345370978332239
14,0.3438201514848818,0.39068915663907927,0.8483017497759174,0.8463558765594222
15,0.3371004563135405,0.39107955278207857,0.8409665882535694,0.8397898883782009
16,0.33609107105682295,0.3914185259491205,0.8403938340532295,0.8391332895600788
17,0.33225701299185556,0.3907378911972046,0.8504549628760997,0.8483256730137886
18,0.32337613745282096,0.3907381519675255,0.8473923993558591,0.8456992777413
19,0.321516801447918,0.39141981427868205,0.8429996490074626,0.8417596848325674
20,0.31358724522093934,0.3932441659271717,0.842270140808868,0.8411030860144452
